Towards,Dog,Sex,Ball Choices,Treat Choices ,Preference Index ,Preference ,Order,Reward,Cylinder Towards,DIAS,BR,A,R
,Abe,m,3,9,-0.5,t,2,b,100,0.46,0.42,0.4,0.72
,Abe,m,3,9,-0.5,t,1,t,90,0.46,0.42,0.4,0.72
,Amanda,f,5,10,-0.333333333,t,1,b,100,0.46,0.4,0.44,0.84
,Amanda,f,5,10,-0.333333333,t,2,t,100,0.46,0.4,0.44,0.84
,Bell,m,4,9,-0.384615385,t,2,b,90,0.53,0.54,0.48,0.76
,Bell,m,4,9,-0.384615385,t,1,t,100,0.53,0.54,0.48,0.76
,Chip,m,9,0,1,b,1,b,60,0.74,0.82,0.64,0.68
,Chip,m,9,0,1,b,2,t,90,0.74,0.82,0.64,0.68
,Doc,m,9,1,0.8,b,2,b,0,0.68,0.84,0.36,0.76
,Frasier ,m,9,0,1,b,2,b,0,0.44,0.48,0.4,0.68
,Immer,m,9,1,0.8,b,1,b,0,0.81,0.94,0.64,0.68
,Immer,m,9,1,0.8,b,2,t,100,0.81,0.94,0.64,0.68
,Inya,f,5,10,-0.333333333,t,2,b,60,0.69,0.76,0.64,0.48
,Inya,f,5,10,-0.333333333,t,1,t,90,0.69,0.76,0.64,0.48
,Jason,m,9,12,-0.142857143,t,2,b,0,0.5,0.54,0.36,0.76
,Jason,m,9,12,-0.142857143,t,1,t,60,0.5,0.54,0.36,0.76
,Jolie,f,9,0,1,b,2,b,100,0.49,0.36,0.64,0.64
,Jolie,f,9,0,1,b,1,t,100,0.49,0.36,0.64,0.64
,Mason,m,9,0,1,b,1,b,30,0.5,0.52,0.36,0.6
,Mason,m,9,0,1,b,2,t,100,0.5,0.52,0.36,0.6
,Mowgli,m,9,1,0.8,b,2,b,100,0.64,0.68,0.52,0.76
,Mowgli,m,9,1,0.8,b,1,t,40,0.64,0.68,0.52,0.76
,Mystique,f,2,9,-0.636363636,t,1,t,90,0.57,0.58,0.4,0.88
,Nina,f,9,0,1,b,1,b,100,0.6,0.6,0.6,0.72
,Nina,f,9,0,1,b,2,t,90,0.6,0.6,0.6,0.72
,Quala,f,9,0,1,b,1,b,80,0.58,0.54,0.76,0.52
,Quala,f,9,0,1,b,2,t,100,0.58,0.54,0.76,0.52
,Quay,f,9,0,1,b,1,b,90,0.56,0.56,0.64,0.52
,Quay,f,9,0,1,b,2,t,100,0.56,0.56,0.64,0.52
,Rooster,m,3,9,-0.5,t,1,b,70,0.5,0.5,0.44,0.8
,Rooster,m,3,9,-0.5,t,2,t,100,0.5,0.5,0.44,0.8
,Roxy,f,9,1,0.8,b,2,b,70,0.66,0.78,0.36,0.84
,Roxy,f,9,1,0.8,b,1,t,60,0.66,0.78,0.36,0.84
,Somer,f,9,0,1,b,1,b,50,0.63,0.64,0.6,0.68
,Somer,f,9,0,1,b,2,t,80,0.63,0.64,0.6,0.68
